"team1","team2","t1_q1","t2_q1","t1_q2","t2_q2","t1_q3","t2_q3","t1_q4","t2_q4","team1_score","team2_score","match_facts","umpires","home_median_experience","home_mean_experience","home_sd_experience","home_300","home_milestone","away_median_experience","away_mean_experience","away_sd_experience","away_300","away_milestone"
"Richmond","Melbourne","7.1.43","4.3.27","11.6.72","6.6.42","14.7.91","10.9.69","14.10.94","13.14.92","94","92","Round: 1 Venue: M.C.G. Date: Wed, 8-Mar-2000 7:40 PM (6:40 PM) Attendance: 41648","Gavin Dore (223), Andrew Coates (186), Mark McKenzie (83)","64.5","90.0454545454545","61.8095980162176","0","0","60","66.3181818181818","50.5129746308867","0","0"
"Essendon","Port Adelaide","4.4.28","0.3.3","11.5.71","2.8.20","17.7.109","6.13.49","24.12.156","8.14.62","156","62","Round: 1 Venue: Docklands Date: Thu, 9-Mar-2000 8:15 PM (7:15 PM) Attendance: 43012","Brett Allen (150), Scott McLaren (100), Mark Nash (127)","110","94.2272727272727","59.3888973255197","0","0","59.5","61.6818181818182","42.266035405722","0","0"
"Kangaroos","West Coast","3.4.22","6.0.36","9.7.61","17.4.106","12.11.83","22.7.139","16.15.111","24.10.154","111","154","Round: 1 Venue: M.C.G. Date: Fri, 10-Mar-2000 7:40 PM (6:40 PM) Attendance: 20580","Darren Goldspink (202), Steven Hanley (57), Michael Vozzo (14)","96","106.681818181818","79.2016031365145","1","1","88","100.636363636364","70.9013704310737","0","0"
"Adelaide","Western Bulldogs","3.2.20","7.6.48","9.11.65","8.7.55","11.13.79","14.15.99","15.18.108","19.17.131","108","131","Round: 1 Venue: Football Park Date: Sat, 11-Mar-2000 2:50 PM (2:20 PM) Attendance: 37222","Bryan Sheehan (285), Darren McCauley (52), Troy Burton (36)","92","90.1363636363636","63.4044428776358","0","1","104","111.136363636364","69.8190146392428","0","0"
"Fremantle","Geelong","4.4.28","3.3.21","9.5.59","7.7.49","10.9.69","11.11.77","16.11.107","19.15.129","107","129","Round: 1 Venue: Subiaco Date: Sat, 11-Mar-2000 5:40 PM (7:40 PM) Attendance: 19777","Stephen McBurney (80), Martin Ellis (59), Vince Sercia (45)","42.5","57.4545454545455","53.2914066803835","0","0","80.5","89.5","66.708141860467","0","1"
"St Kilda","Sydney","2.3.15","4.2.26","8.5.53","7.5.47","10.8.68","15.8.98","15.10.100","21.8.134","100","134","Round: 1 Venue: Docklands Date: Sun, 12-Mar-2000 7:40 PM (6:40 PM) Attendance: 31440","John Harvey (125), Stuart Wenn (57), Matthew Norden (63)","74","97.2727272727273","80.9062843036735","0","1","86","98","64.1746129897248","0","0"
"Carlton","Brisbane Lions","5.2.32","3.10.28","11.8.74","7.11.53","17.16.118","11.13.79","22.20.152","16.16.112","152","112","Round: 1 Venue: Princes Park Date: Mon, 13-Mar-2000 2:10 PM (1:10 PM) Attendance: 22374","Chris Mitchell (278), Ray Kelsey (12), Derek Humphery-Smith (42)","92.5","104.590909090909","80.5969744740601","0","0","102","100.318181818182","61.0732474856345","0","0"
"Hawthorn","Collingwood","2.5.17","5.1.31","5.6.36","10.9.69","11.7.73","17.14.116","13.8.86","20.20.140","86","140","Round: 1 Venue: M.C.G. Date: Mon, 13-Mar-2000 2:10 PM (1:10 PM) Attendance: 53776","Hayden Kennedy (233), Justin Schmitt (16), Shane McInerney (74)","81","88.8636363636364","64.0656623387996","0","0","22","56.5454545454545","65.0258024045454","0","0"
"Essendon","Richmond","5.4.34","1.5.11","10.7.67","4.10.34","15.7.97","9.12.66","20.10.130","12.15.87","130","87","Round: 2 Venue: M.C.G. Date: Thu, 16-Mar-2000 7:40 PM (6:40 PM) Attendance: 49521","Darren Goldspink (203), Steven Hanley (58), Corin Rowe (14)","96.5","92.6363636363636","58.9039132458192","0","0","62","88.1818181818182","61.8151132418944","0","1"
"Melbourne","Kangaroos","7.0.42","3.8.26","13.2.80","8.13.61","18.4.112","13.15.93","23.7.145","17.18.120","145","120","Round: 2 Venue: M.C.G. Date: Fri, 17-Mar-2000 7:40 PM (6:40 PM) Attendance: 23348","Bryan Sheehan (286), Darren McCauley (53), Kieron Nicholls (14)","51.5","65","55.8032257132148","0","0","97","104.272727272727","76.7892488867338","0","0"
"Geelong","St Kilda","7.4.46","4.0.24","11.7.73","10.1.61","15.13.103","13.7.85","21.13.139","15.9.99","139","99","Round: 2 Venue: Kardinia Park Date: Sat, 18-Mar-2000 2:10 PM (1:10 PM) Attendance: 20476","Chris Mitchell (279), David Howlett (270), Derek Humphery-Smith (43)","81.5","89.5454545454545","67.6916870979332","0","0","86","100.636363636364","79.8877459192081","0","0"
"Port Adelaide","Fremantle","3.5.23","3.2.20","7.9.51","10.5.65","9.13.67","14.8.92","12.15.87","19.11.125","87","125","Round: 2 Venue: Football Park Date: Sat, 18-Mar-2000 7:10 PM (6:40 PM) Attendance: 24695","Hayden Kennedy (234), Justin Schmitt (17), Shane McInerney (75)","53","60.5","42.4934168570907","0","0","43.5","57.5","52.5825881012771","0","0"
"Collingwood","Adelaide","5.5.35","6.1.37","7.10.52","10.3.63","10.14.74","12.9.81","14.19.103","13.14.92","103","92","Round: 2 Venue: M.C.G. Date: Sun, 19-Mar-2000 2:10 PM (1:10 PM) Attendance: 33076","Stephen McBurney (81), Martin Ellis (60), Darren Morris (12)","23","47.7272727272727","50.746036033962","0","0","93","90.4090909090909","63.6333688225417","0","1"
"Carlton","Hawthorn","5.3.33","4.1.25","13.10.88","6.3.39","16.19.115","12.4.76","22.22.154","18.4.112","154","112","Round: 2 Venue: Princes Park Date: Sun, 19-Mar-2000 2:10 PM (1:10 PM) Attendance: 21161","John Harvey (126), Stuart Wenn (58), Ray Kelsey (13)","93.5","105.590909090909","80.5969744740601","0","0","75.5","86.3636363636364","64.6599496667689","0","0"
"Western Bulldogs","Brisbane Lions","7.2.44","2.2.14","9.5.59","10.5.65","12.8.80","13.10.88","17.8.110","21.13.139","110","139","Round: 2 Venue: Docklands Date: Sun, 19-Mar-2000 7:40 PM (6:40 PM) Attendance: 24460","Gavin Dore (224), Andrew Coates (187), Mark McKenzie (84)","105","115.5","66.6981473291639","0","0","98","91.0909090909091","66.5681956742458","0","0"
"West Coast","Sydney","2.2.14","2.5.17","7.5.47","7.6.48","8.6.54","10.9.69","10.10.70","12.10.82","70","82","Round: 2 Venue: Subiaco Date: Sun, 19-Mar-2000 5:40 PM (7:40 PM) Attendance: 38127","Brett Allen (151), Scott McLaren (101), Mark Nash (128)","87","97.9545454545455","70.7150400064716","0","0","86.5","97.8636363636364","64.7090892670128","0","0"
"Richmond","Kangaroos","6.2.38","7.3.45","13.3.81","15.5.95","19.7.121","20.7.127","20.14.134","27.8.170","134","170","Round: 3 Venue: M.C.G. Date: Fri, 24-Mar-2000 7:40 PM (6:40 PM) Attendance: 37543","Hayden Kennedy (235), Shane McInerney (76), Justin Schmitt (18)","63","88.6363636363636","66.9516851059638","0","0","103.5","108.045454545455","82.0693535241919","0","0"
"Hawthorn","Brisbane Lions","6.4.40","3.3.21","8.9.57","10.9.69","11.12.78","13.12.90","16.14.110","15.13.103","110","103","Round: 3 Venue: M.C.G. Date: Sat, 25-Mar-2000 2:10 PM (1:10 PM) Attendance: 20374","Scott McLaren (102), Troy Burton (37), Kieron Nicholls (15)","75.5","83.5909090909091","66.0812336236956","0","0","99","91.9090909090909","66.8223722807671","0","0"
"Adelaide","Geelong","4.3.27","4.4.28","6.7.43","8.6.54","10.12.72","14.7.91","14.16.100","17.9.111","100","111","Round: 3 Venue: Football Park Date: Sat, 25-Mar-2000 7:10 PM (6:40 PM) Attendance: 39179","Darren Goldspink (204), Steven Hanley (59), Michael Vozzo (15)","85.5","86.8181818181818","67.400463728542","0","1","61","77.9090909090909","62.2804020928613","0","0"
"St Kilda","West Coast","5.0.30","4.6.30","10.2.62","7.7.49","12.3.75","13.12.90","18.8.116","17.14.116","116","116","Round: 3 Venue: Docklands Date: Sat, 25-Mar-2000 7:40 PM (6:40 PM) Attendance: 21215","Gavin Dore (225), Andrew Coates (188), Matthew Norden (64)","76","95.4090909090909","82.0462465935315","0","0","90","101","71.7303150365178","0","0"
"Collingwood","Carlton","7.3.45","4.5.29","14.7.91","6.10.46","18.12.120","6.14.50","24.16.160","11.21.87","160","87","Round: 3 Venue: M.C.G. Date: Sun, 26-Mar-2000 2:10 PM Attendance: 82669","Chris Mitchell (280), David Howlett (271), Derek Humphery-Smith (44)","37.5","63.6363636363636","63.8312846528479","0","0","106.5","111.181818181818","79.1283684989063","0","0"
"Western Bulldogs","Port Adelaide","2.2.14","4.2.26","12.4.76","5.5.35","19.6.120","10.7.67","22.9.141","14.10.94","141","94","Round: 3 Venue: Docklands Date: Sun, 26-Mar-2000 2:10 PM Attendance: 18134","John Harvey (127), Stuart Wenn (59), Ray Kelsey (14)","88","101.136363636364","69.1425686910373","0","0","54","58.1818181818182","45.1543768522803","0","0"
"Sydney","Melbourne","6.3.39","5.4.34","12.6.78","8.5.53","18.9.117","12.10.82","19.12.126","17.12.114","126","114","Round: 3 Venue: S.C.G. Date: Sun, 26-Mar-2000 2:10 PM Attendance: 26920","Stephen McBurney (82), Mark McKenzie (85), Vince Sercia (46), Troy Burton (38)","87.5","99.6363636363636","64.8995894436684","0","0","62","69.6363636363636","53.7963934483711","0","0"
"Fremantle","Essendon","2.5.17","5.1.31","4.10.34","10.4.64","9.13.67","16.7.103","12.16.88","19.10.124","88","124","Round: 3 Venue: Subiaco Date: Sun, 26-Mar-2000 6:40 PM (8:40 PM) Attendance: 27230","Bryan Sheehan (287), Mathew James (13), Darren Morris (13)","44.5","58.5","52.5825881012771","0","0","109","97.2727272727273","56.7410003924951","0","0"
"Kangaroos","Geelong","4.1.25","5.2.32","7.5.47","8.5.53","13.8.86","10.6.66","15.14.104","15.9.99","104","99","Round: 4 Venue: Docklands Date: Fri, 31-Mar-2000 7:40 PM Attendance: 34623","Stephen McBurney (83), Scott McLaren (103), Martin Ellis (61)","99","95.5454545454545","72.3731910853652","0","0","78.5","89.3636363636364","68.7171881558897","0","0"
"Western Bulldogs","Carlton","6.6.42","3.2.20","10.7.67","5.3.33","12.9.81","7.8.50","14.14.98","8.11.59","98","59","Round: 4 Venue: Docklands Date: Sat, 1-Apr-2000 2:10 PM Attendance: 30576","Bryan Sheehan (288), Darren McCauley (54), Troy Burton (39)","99.5","113.590909090909","64.4978102920365","0","0","107.5","113.090909090909","78.0542601814118","0","0"
"Hawthorn","Essendon","2.0.12","6.3.39","7.3.45","10.6.66","11.3.69","15.14.104","14.6.90","20.17.137","90","137","Round: 4 Venue: M.C.G. Date: Sat, 1-Apr-2000 2:10 PM Attendance: 46889","Hayden Kennedy (236), Mathew James (14), Mark Nash (129)","77","85.6818181818182","65.2653093615636","0","1","110","98.4090909090909","51.3815411462402","0","1"
"Sydney","Collingwood","3.2.20","3.3.21","7.6.48","7.6.48","12.9.81","12.9.81","15.11.101","15.16.106","101","106","Round: 4 Venue: S.C.G. Date: Sat, 1-Apr-2000 7:40 PM Attendance: 34687","Gavin Dore (226), Andrew Coates (189), Darren Morris (14)","80","93.7727272727273","65.7476646829027","0","0","33.5","59.2727272727273","52.8593658126216","0","0"
"West Coast","Adelaide","4.3.27","2.4.16","13.5.83","4.6.30","22.9.141","6.8.44","29.13.187","10.13.73","187","73","Round: 4 Venue: W.A.C.A. Date: Sat, 1-Apr-2000 8:10 PM (10:10 PM) Attendance: 26008","Chris Mitchell (281), David Howlett (272), Matthew Norden (65)","89","91.7727272727273","63.8442538102588","0","0","86.5","92.3636363636364","63.4264068894738","0","0"
"Port Adelaide","Brisbane Lions","4.4.28","3.3.21","10.7.67","8.6.54","16.9.105","9.13.67","23.11.149","15.16.106","149","106","Round: 4 Venue: Football Park Date: Sun, 2-Apr-2000 1:40 PM (2:10 PM) Attendance: 24458","Darren Goldspink (205), Steven Hanley (60), Michael Vozzo (16)","48.5","52.7272727272727","38.3246555206856","0","0","104.5","102.681818181818","65.3841296920316","0","0"
"Richmond","Fremantle","1.1.7","5.4.34","5.2.32","7.10.52","10.6.66","8.14.62","13.9.87","12.16.88","87","88","Round: 4 Venue: Docklands Date: Sun, 2-Apr-2000 2:10 PM Attendance: 23578","Mark McKenzie (86), Brett Allen (152), Michael Avon (6)","59","81.1363636363636","70.4450447441431","0","0","45.5","60.9090909090909","51.484541453314","0","0"
"Melbourne","St Kilda","2.4.16","4.2.26","9.6.60","6.6.42","16.11.107","9.7.61","25.15.165","11.9.75","165","75","Round: 4 Venue: M.C.G. Date: Sun, 2-Apr-2000 2:10 PM Attendance: 31642","John Harvey (128), Stuart Wenn (60), Richard Fox (1)","53.5","66.9090909090909","55.9658987078901","0","0","69","91.0909090909091","85.1110809700835","0","0"
"Western Bulldogs","Collingwood","3.3.21","5.4.34","5.6.36","10.8.68","12.9.81","12.10.82","16.14.110","17.16.118","110","118","Round: 5 Venue: Docklands Date: Fri, 7-Apr-2000 7:40 PM Attendance: 45141","Bryan Sheehan (289), John Harvey (129), Gavin Dore (227)","90","98.8181818181818","64.4143110124098","0","1","34.5","60.6363636363636","52.4654493607305","0","0"
"Essendon","Carlton","5.6.36","1.2.8","10.8.68","3.6.24","16.12.108","8.7.55","18.15.123","15.9.99","123","99","Round: 5 Venue: M.C.G. Date: Sat, 8-Apr-2000 2:10 PM Attendance: 64658","Brett Allen (153), Mark McKenzie (87), Steven Hanley (61)","99.5","94.9545454545455","56.3648634833602","0","1","108.5","115.227272727273","86.4935625560444","0","0"
"Brisbane Lions","Adelaide","5.5.35","3.1.19","8.13.61","9.5.59","13.17.95","11.9.75","17.20.122","13.14.92","122","92","Round: 5 Venue: Gabba Date: Sat, 8-Apr-2000 7:40 PM Attendance: 26395","Hayden Kennedy (237), Stuart Wenn (61), Shane McInerney (77)","101","90.9545454545455","66.8113743329662","0","1","75","85.7272727272727","69.7158735891836","0","0"
"Fremantle","Melbourne","5.3.33","1.3.9","6.10.46","4.11.35","8.13.61","10.15.75","10.15.75","14.22.106","75","106","Round: 5 Venue: W.A.C.A. Date: Sat, 8-Apr-2000 8:10 PM (10:10 PM) Attendance: 20484","Andrew Coates (190), Kieron Nicholls (16), Ray Kelsey (15)","47.5","61.8636363636364","51.9947757948499","0","0","48","62.0909090909091","54.7547859103346","0","1"
"Geelong","West Coast","4.3.27","1.6.12","11.6.72","6.8.44","15.15.105","7.12.54","24.18.162","11.15.81","162","81","Round: 5 Venue: Kardinia Park Date: Sun, 9-Apr-2000 2:10 PM Attendance: 22623","Darren Goldspink (206), Vince Sercia (47), Richard Fox (2)","63","78.5454545454545","63.1413586235771","0","0","90","97.2727272727273","67.601903198189","0","0"
"Kangaroos","Sydney","4.2.26","5.5.35","8.6.54","10.9.69","16.10.106","14.10.94","19.14.128","18.12.120","128","120","Round: 5 Venue: S.C.G. Date: Sun, 9-Apr-2000 2:10 PM Attendance: 19306","Darren McCauley (55), David Howlett (273), Mark Nash (130)","92.5","94.2727272727273","73.130139587022","0","0","78","90","67.9824907429777","0","0"
"St Kilda","Richmond","2.4.16","3.1.19","9.7.61","5.3.33","11.12.78","12.7.79","11.18.84","17.8.110","84","110","Round: 5 Venue: Docklands Date: Sun, 9-Apr-2000 2:10 PM Attendance: 26374","Scott McLaren (104), Stephen McBurney (84), Martin Ellis (62)","76","91.9090909090909","79.0092876342239","0","0","62","90.3636363636364","72.344115141945","0","0"
"Port Adelaide","Hawthorn","2.4.16","4.6.30","6.7.43","8.9.57","7.10.52","11.14.80","10.14.74","16.17.113","74","113","Round: 5 Venue: Football Park Date: Sun, 9-Apr-2000 8:10 PM (8:40 PM) Attendance: 22086","Chris Mitchell (282), Derek Humphery-Smith (45), Justin Schmitt (19)","56","59.6818181818182","45.3057195628568","0","0","78","82.6818181818182","67.5202871549668","0","0"
"Western Bulldogs","Essendon","1.3.9","6.5.41","4.4.28","9.8.62","7.7.49","12.12.84","12.9.81","22.12.144","81","144","Round: 6 Venue: Docklands Date: Fri, 14-Apr-2000 7:40 PM Attendance: 42029","Scott McLaren (105), Martin Ellis (63), Gavin Dore (228)","99","107.227272727273","67.7122284926873","0","0","81.5","89.7272727272727","59.0973223293028","0","0"
"Carlton","Port Adelaide","6.2.38","3.3.21","13.7.85","6.3.39","23.11.149","8.3.51","26.13.169","12.6.78","169","78","Round: 6 Venue: Princes Park Date: Sat, 15-Apr-2000 2:10 PM Attendance: 16415","Andrew Coates (191), Kieron Nicholls (17), Ray Kelsey (16), Scott McLaren (106)","80","101.409090909091","87.0351100970774","0","0","47","51","37.5423570308068","0","0"
"Collingwood","Kangaroos","2.5.17","3.3.21","2.9.21","7.5.47","6.11.47","13.8.86","11.16.82","17.12.114","82","114","Round: 6 Venue: M.C.G. Date: Sat, 15-Apr-2000 2:10 PM Attendance: 55802","Hayden Kennedy (238), Shane McInerney (78), Stuart Wenn (62)","29","58.4090909090909","53.2028097100046","0","0","93.5","101","78.0311293193758","0","0"
"St Kilda","Brisbane Lions","1.3.9","6.4.40","4.7.31","9.8.62","8.9.57","11.11.77","9.12.66","15.15.105","66","105","Round: 6 Venue: Docklands Date: Sat, 15-Apr-2000 7:40 PM Attendance: 18194","Chris Mitchell (283), Derek Humphery-Smith (46), Justin Schmitt (20)","83","95.3181818181818","86.1523492002817","0","0","106.5","98.9090909090909","69.4378167111437","0","1"
"West Coast","Fremantle","5.3.33","3.0.18","11.4.70","4.3.27","19.9.123","6.5.41","28.10.178","9.7.61","178","61","Round: 6 Venue: Subiaco Date: Sat, 15-Apr-2000 6:40 PM (8:40 PM) Attendance: 40519","Darren McCauley (56), David Howlett (274), Troy Burton (40)","91","98.5909090909091","73.5673705433191","0","0","50.5","60.4090909090909","48.2894635958228","0","0"
"Geelong","Melbourne","3.6.24","3.2.20","6.12.48","6.5.41","11.16.82","7.6.48","15.19.109","12.12.84","109","84","Round: 6 Venue: Kardinia Park Date: Sun, 16-Apr-2000 2:10 PM Attendance: 26761","Bryan Sheehan (290), Darren Morris (15), Matthew Norden (66)","64","86.3181818181818","71.7969268234978","0","0","55.5","68.5909090909091","56.1737602621664","0","0"
"Sydney","Richmond","5.4.34","5.4.34","10.6.66","9.6.60","11.9.75","14.9.93","16.10.106","17.10.112","106","112","Round: 6 Venue: S.C.G. Date: Sun, 16-Apr-2000 2:40 PM Attendance: 25049","Brett Allen (154), Steven Hanley (62), Michael Vozzo (17)","80.5","92","67.9439544947227","0","0","61","82.2727272727273","66.4165655025926","0","0"
"Adelaide","Hawthorn","6.1.37","4.1.25","13.3.81","6.3.39","17.8.110","7.6.48","22.11.143","8.9.57","143","57","Round: 6 Venue: Football Park Date: Sun, 16-Apr-2000 2:50 PM (3:20 PM) Attendance: 38158","Darren Goldspink (207), John Harvey (130), Michael Avon (7)","75.5","84.7727272727273","70.8996150289648","0","0","79","82.5909090909091","68.3134645383283","0","1"
