"weather_date","Rainfall.amount..millimetres.","Period.over.which.rainfall.was.measured..days.","Quality","rainfall_clean","cities","min_temp","max_temp"
1999-01-01,0,NA,"Y",0,"Perth",20.3,31.2632307692308
1999-01-02,0,NA,"Y",0,"Perth",18.3,30.2
1999-01-03,0,NA,"Y",0,"Perth",15.5,28
1999-01-04,0,NA,"Y",0,"Perth",15.9,23.4
1999-01-05,6.2,1,"Y",6.2,"Perth",11.1,22.4
1999-01-06,0,NA,"Y",0,"Perth",11.8,25.2
1999-01-07,0,NA,"Y",0,"Perth",14.8,30.5
1999-01-08,0,NA,"Y",0,"Perth",17.5,36.7
1999-01-09,0,NA,"Y",0,"Perth",20.1,23.5
1999-01-10,0,NA,"Y",0,"Perth",13.6,24
1999-01-11,0,NA,"Y",0,"Perth",10.9,28.9
1999-01-12,0,NA,"Y",0,"Perth",15.7,25.7
1999-01-13,0,NA,"Y",0,"Perth",15.2,33.7
1999-01-14,0,NA,"Y",0,"Perth",19.5,24.4
1999-01-15,0.2,1,"Y",0.2,"Perth",17.5,27.6
1999-01-16,0,NA,"Y",0,"Perth",18.7,36.4
1999-01-17,0,NA,"Y",0,"Perth",20,30.7
1999-01-18,0,NA,"Y",0,"Perth",17.4,31.2
1999-01-19,0,NA,"Y",0,"Perth",15.5,33.2
1999-01-20,0,NA,"Y",0,"Perth",18.6,39
1999-01-21,0,NA,"Y",0,"Perth",19.8,28.7
1999-01-22,0,NA,"Y",0,"Perth",19.4,28.9
1999-01-23,41.8,1,"Y",41.8,"Perth",18.8,31.8
1999-01-24,0,NA,"Y",0,"Perth",19.9,37.2
1999-01-25,0,NA,"Y",0,"Perth",21.9,35.1
1999-01-26,0,NA,"Y",0,"Perth",21.9,38.3
1999-01-27,0,NA,"Y",0,"Perth",25.6,31.3
1999-01-28,0,NA,"Y",0,"Perth",20.1,29.7
1999-01-29,0,NA,"Y",0,"Perth",22.2,32.9
1999-01-30,0,NA,"Y",0,"Perth",19.1,31.9
1999-01-31,0,NA,"Y",0,"Perth",21.2,25.4
1999-02-01,0,NA,"Y",0,"Perth",18.4,24.7
1999-02-02,0,NA,"Y",0,"Perth",15.4,24.5
1999-02-03,0,NA,"Y",0,"Perth",16.6,26.8
1999-02-04,0,NA,"Y",0,"Perth",15.6,31.2
1999-02-05,0,NA,"Y",0,"Perth",18,29.8
1999-02-06,0,NA,"Y",0,"Perth",18,35.3
1999-02-07,0,NA,"Y",0,"Perth",20.6,38.1
1999-02-08,0,NA,"Y",0,"Perth",19.4,38.9
1999-02-09,0,NA,"Y",0,"Perth",19.7,26.9
1999-02-10,0,NA,"Y",0,"Perth",15.6,28.6
1999-02-11,0,NA,"Y",0,"Perth",17.5,32.2
1999-02-12,0,NA,"Y",0,"Perth",20.7,35.5
1999-02-13,0,NA,"Y",0,"Perth",19.7,29.3
1999-02-14,0,NA,"Y",0,"Perth",15.9,30.6
1999-02-15,0,NA,"Y",0,"Perth",15.7,31.7
1999-02-16,0,NA,"Y",0,"Perth",15,31.8
1999-02-17,0,NA,"Y",0,"Perth",17.1,31.2
1999-02-18,0,NA,"Y",0,"Perth",19,35.6
1999-02-19,0,NA,"Y",0,"Perth",18.7,29.5
1999-02-20,0,NA,"Y",0,"Perth",19.7,30.2
1999-02-21,0,NA,"Y",0,"Perth",18.5,30.1
1999-02-22,0,NA,"Y",0,"Perth",20,31.2
1999-02-23,0,NA,"Y",0,"Perth",18.3,35.2
1999-02-24,0,NA,"Y",0,"Perth",20.9,37.1
1999-02-25,0,NA,"Y",0,"Perth",24.6,38.1
1999-02-26,0,NA,"Y",0,"Perth",23,38
1999-02-27,0,NA,"Y",0,"Perth",21.2,37.6
1999-02-28,0,NA,"Y",0,"Perth",18.1,34.1
1999-03-01,0,NA,"Y",0,"Perth",21.2,27.3
1999-03-02,0,NA,"Y",0,"Perth",17.1,26
1999-03-03,0,NA,"Y",0,"Perth",16.1,25.3
1999-03-04,0,NA,"Y",0,"Perth",14.3,26.4
1999-03-05,0,NA,"Y",0,"Perth",13.2,25.4
1999-03-06,0,NA,"Y",0,"Perth",14.2,28.5
1999-03-07,0,NA,"Y",0,"Perth",15,30.9
1999-03-08,3.2,1,"Y",3.2,"Perth",17.8,23.3
1999-03-09,0.2,1,"Y",0.2,"Perth",10.5,26.6
1999-03-10,0,NA,"Y",0,"Perth",14.1,34.2
1999-03-11,0,NA,"Y",0,"Perth",18.7,33.9
1999-03-12,0,NA,"Y",0,"Perth",21.3,34.7
1999-03-13,0,NA,"Y",0,"Perth",21.8,30.3
1999-03-14,0,NA,"Y",0,"Perth",17.3,26.8
1999-03-15,0,NA,"Y",0,"Perth",19.7,31.1
1999-03-16,0,NA,"Y",0,"Perth",21.3,30.4
1999-03-17,0,NA,"Y",0,"Perth",18.4,33
